code,stadt,bundesland,behoerde_name,plz,ort,strasse,telefon,email
05334-,Aachen,NW,StädteRegion Aachen,52146,Würselen,Carlo-Schmid-Str. 4,0241-5198-6500,info-stva@staedteregion-aachen.de
08136-,Aalen,BW,LK Ostalbkreis,73430,Aalen,Stuttgarter Str. 41,07361-503-1435,zulassungsstelle@ostalbkreis.de
08317-e1,Achern,BW,LRA Ortenaukreis Nebenstelle,77855,Achern,Illenauer Allee 57,0781-805-1225,zulassungsbehoerde@ortenaukreis.de
05554-e1,Ahaus,NW,LK Borken Nebenstelle,48683,Ahaus,Bahnhofstr. 93,02861 681 1320,zulassungsstelle@kreis-borken.de
09771-,Aichach/Friedberg,BY,LRA Aichach-Friedberg,86551,Aichach,Münchener Str. 9,08251-92-222,birgit.lorenz@lra-aic-fdb.bayern.de
08417-e1,Albstadt,BW,LRA Zollernalbkreis Nebenstelle,72458,Albstadt/Ebingen,Unter dem Malesfelsen 23,07431-8000-1524,zula.albstadt@zollernalbkreis.de
03254-e1,Alfeld,NI,LK Hildesheim Nebenstelle,31061,Alfeld (Leine),Ständehausstr. 1,05181-704-222,infozulassungsstelle@landkreishildesheim.de
06535-e1,Alsfeld,HE,LK Vogelsbergkreis Nebenstelle,36304,Alsfeld,Hersfelderstr. 57,06631-792-720,zulassung@vogelsbergkreis.de
16077-,Altenburg,TH,LRA Altenburger Land,04600,Altenburg,Martin-Lutherstr. 1a,03447-586-602,kfz.zulassung@altenburgerland.de
01058-e1,Altenholz,SH,LK Rendsburg-Eckernförde Nebenstelle,24161,Altenholz,Teichkoppel 72,0431-320979-23,zulassungsbehoerde@kreis-rd.de
07132-,Altenkirchen,RP,LK Altenkirchen,57610,Altenkirchen,Rathausstr. 12,02681-81-0,zulassungsstelle@kreis-ak.de
09171-,Altötting,BY,LRA Altötting,84503,Altötting,Bahnhofstr. 38,08671-502-520,kfz-zulassungsbehoerde@lra-aoe.bayern.de
09671-e1,Alzenau,BY,LRA Aschaffenburg Nebenstelle,63755,Alzenau,Siemensstr. 2,06021-394-800,zulassungsstelle-alz@lra-ab.bayern.de
07331-,Alzey-Worms,RP,LK Alzey-Worms,55232,Alzey,An der Hexenbleiche 34,06731-408-7009,zulassung@alzey-worms.de
09361-,Amberg,BY,Stadt Amberg,92224,Amberg (Opf),Pfalzgrafenring 3,09621-10-1375,kfz@amberg.de
09371-,Amberg-Sulzbach,BY,LRA Amberg-Sulzbach,92224,Amberg i.d.Opf.,Beethovenstr. 7,09621-39-850,Zulassung@amberg-sulzbach.de
07137-e1,Andernach,RP,Stadt Andernach,56626,Andernach,Am Stadtgraben 29,02632-9221-55,zulassungsstelle@andernach.de
13075-,Anklam,MV,LK Vorpommern-Greifswald,17389,Anklam,Friedländer Landstraße 21 d,03834-8760-3690,kfz@kreis-vg.de
14521-,Annaberg-Buchholz,SN,LK Erzgebirgskreis,09456,Annaberg-Buchholz,Paulus-Jenisius-Str.24,03733-831-5394,zulassungsbehoerde@kreis-erz.de
09571-,Ansbach(Land),BY,LRA Ansbach,91522,Ansbach,Crailsheimstr. 1,0981-468-3450,zulassung@lra-an.bayern.de
09561-,Ansbach(Stadt),BY,Stadt Ansbach,91522,Ansbach,Karlsplatz 7,0981-51-0,zulassung@ansbach.de
16071-,Apolda,TH,LRA Weimarer Land,99510,Apolda,Bahnhofstr. 28,03644-540-728,post.kfz-zulassung@weimarerland.de
05958-e1,Arnsberg,NW,Hochsauerlandkreis Nebenstelle,59821,Arnsberg,Eichholzstr. 9,02931-940,kfz-zulassung-ar@hochsauerlandkreis.de
16070-,Arnstadt,TH,LRA Ilm-Kreis,99310,Arnstadt,Ritterstraße 14,03628-738-810,vka@ilm-kreis.de
16065-e1,Artern,TH,LRA Kyffhäuserkreis Nebenstelle,06556,Artern,Straße der Jugend 8,03466-741-930,artern@kyffhaeuser.de
